concept_code,vocabulary_id,cluster
R94.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R97.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R97.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R97.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R97.20,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R97.21,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R97.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R75,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R76.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R76.11,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.71,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.79,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R78.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.991,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.992,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.993,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.994,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R82.998,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R83.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R83.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R84.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R84.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.61,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.610,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.611,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.612,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.613,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.614,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.615,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.616,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.618,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.619,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R85.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R86.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
R86.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_unrelated
